NTAName,NTA2020,BoroName,BoroCD,Pop_Total,Num_65+,Percent_65+,Percent_65+_Below_Poverty,Percent_Hispanic,Percent_white,Percent_Black,Percent_Asian,Percent_Other,
Fordham South,BX40,Bronx,205,"28,164","1,853",6.6,43.8,71.6,0.7,25.3,0.4,1.9%,
Mount Hope,BX41,Bronx,205,"53,198","4,661",8.8,36.6,69,1.3,26.4,1.4,1.8%,
Norwood,BX43,Bronx,207,"42,227","3,855",9.1,29.9,63.5,9.7,13.5,10.7,2.5%,
Williamsbridge-Olinville,BX44,Bronx,212,"66,606","8,250",12.4,16.9,26.4,2.4,68.3,1.3,1.6%,
Parkchester,BX46,Bronx,209,"30,372","3,562",11.7,15.7,38.2,2,40.3,16.2,3.3%,
Pelham Parkway,BX49,Bronx,211,"28,913","4,211",14.6,13.1,43.4,30.7,13.9,10,1.9%,
Schuylerville-Throgs Neck-Edgewater Park,BX52,Bronx,210,"46,810","7,374",15.8,14.2,49.2,36.3,9.6,3.4,1.5%,
Soundview-Bruckner,BX55,Bronx,209,"37,130","4,105",11.1,25.8,63.9,3,21.5,8.7,2.9%,
Westchester-Unionport,BX59,Bronx,209,"28,302","3,492",12.3,18.2,59.9,4.3,17.7,13.8,4.4%,
Woodlawn-Wakefield,BX62,Bronx,212,"43,858","6,387",14.6,9.6,17.8,15.1,58.5,5.1,3.5%,
West Concourse,BX63,Bronx,204,"38,081","3,010",7.9,38.2,71.2,2,22.1,2.1,2.5%,
Crotona Park East,BX75,Bronx,203,"22,103","2,353",10.6,36.8,67.6,0.8,29.6,1.6,0.5%,
Rikers Island,BX98,Bronx,401,"7,080",51,0.7,,32.9,7.6,56.3,1.8,1.5%,
park-cemetery-etc-Bronx,BX99,Bronx,212,831,54,6.5,18.5,35.6,10.6,39,0.4,14.4%,
Brooklyn Heights-Cobble Hill,BK09,Brooklyn,302,"24,168","3,512",14.5,10.6,7.3,72.6,5.8,9.3,5.1%,
Sheepshead Bay-Gerritsen Beach-Manhattann Beach,BK17,Brooklyn,315,"65,631","13,375",20.4,18.7,9.2,62.4,6.5,19.8,2.2%,
Brighton Beach,BK19,Brooklyn,313,"34,431","8,875",25.8,40.7,10.7,71.2,0.7,13.8,3.6%,
Seagate-Coney Island,BK21,Brooklyn,313,"32,259","6,409",19.9,42.8,27.9,31.7,29.2,8.7,2.4%,
West Brighton,BK23,Brooklyn,313,"16,774","6,309",37.6,21.8,3.9,92.6,1.7,0.8,1.0%,
Homecrest,BK25,Brooklyn,315,"45,007","6,943",15.4,23.5,11.8,72.8,1.9,9.8,3.7%,
Gravesend,BK26,Brooklyn,313,"30,587","5,645",18.5,22.1,20.9,44.2,7.5,23.3,4.1%,
Bath Beach,BK27,Brooklyn,311,"33,020","5,154",15.6,18.7,18.1,41.2,1.1,37.1,2.5%,
Bensonhurst West,BK28,Brooklyn,311,"90,847","13,801",15.2,20.7,16.8,38.6,0.9,41.9,1.8%,
Bensonhurst East,BK29,Brooklyn,311,"65,502","10,548",16.1,26,13.5,42.1,1,41,2.4%,
Dyker Heights,BK30,Brooklyn,310,"43,888","7,429",16.9,16.6,13.7,43.7,0.9,40.4,1.3%,
Bay Ridge,BK31,Brooklyn,310,"79,187","12,958",16.4,14.1,18.2,60.7,2.8,15.5,2.8%,
